it	h	LC
482	4.2529	2.0154
483	4.0867	1.8089
484	4.8202	1.8974
485	3.3971	1.9244
486	4.0828	1.7426
487	4.5195	1.7899
488	4.4073	1.7382
489	3.5378	1.9899
490	4.4909	1.7708
491	4.872	1.9329
492	3.6366	2.0223
493	3.4741	1.9592
494	3.7478	1.8478
495	3.6482	1.8653
496	4.6511	1.7962
497	3.5786	1.9755
498	3.7402	1.8339
499	3.5078	2.007
500	3.8121	2.0017
501	4.5617	1.8545
502	4.7491	1.8909
503	3.7816	1.8592
504	4.668	1.7759
505	3.8324	1.8576
506	3.486	1.9387
507	4.4562	1.8722
508	4.6695	1.8286
509	3.4656	1.9728
510	3.5097	2.0059
511	4.6609	1.8955
512	4.514	1.756
513	4.5333	1.7569
514	3.9354	2.0071
515	4.0822	1.8284
516	4.8295	1.8941
517	4.6925	1.9151
518	3.5354	1.862
519	4.9978	1.9028
520	4.3094	1.8752
521	3.6561	1.7802
522	4.8154	1.9554
523	4.6372	1.892
524	4.8137	1.8585
525	4.5883	1.8215
526	4.0538	2.0971
527	3.6688	1.8939
528	4.7509	1.9304
529	4.619	1.8238
530	4.2703	1.8335
531	4.5973	1.9256
532	3.9026	2.0418
533	4.6061	1.7597
534	4.3652	1.8385
535	3.4892	1.9324
536	4.826	1.9304
537	4.6074	1.7755
538	3.5843	1.9574
539	4.1475	1.9162
540	4.0101	2.0162
541	4.0342	1.8768
542	4.6237	1.8124
543	4.3501	1.9008
544	4.7812	1.9759
545	3.3306	1.8433
546	3.5502	1.8517
547	3.4143	1.9588
548	4.3421	1.8863
549	4.429	1.7055
550	4.4344	1.7344
551	3.7865	2.1254
552	3.6208	2.0036
553	3.7951	1.7513
554	4.5963	1.7976
555	3.9665	1.9225
556	4.7773	1.8548
557	3.6317	2.0107
558	3.6282	1.8886
559	3.7307	2.0752
560	4.5638	1.8325
561	4.2007	1.9321
562	4.764	1.8677
563	4.3878	1.7721
564	3.8352	1.8413
565	3.3617	1.8432
566	4.5714	1.7365
567	3.8521	2.071
568	3.5704	1.8869
569	3.8319	2.0201
570	3.9469	1.8332
571	4.6641	1.8062
572	4.5207	1.8507
573	4.5419	1.8672
574	3.8703	1.9814
575	4.6482	1.9119
576	4.3239	1.7527
577	4.1208	1.918
578	3.7687	1.9869
579	4.3897	1.7575
580	4.1943	1.9438
581	3.4276	1.8761
582	4.6532	1.8537
583	4.6579	1.8484
584	3.2639	1.8107
585	4.685	1.8468
586	3.3649	1.8871
587	4.5187	1.7365
588	4.0396	2.0332
589	3.9689	1.8272
590	3.6834	1.8177
591	4.6085	1.767
592	4.0281	2.0747
593	4.4348	1.7162
594	4.5347	1.7986
595	4.5903	1.8412
596	3.7413	1.9769
597	3.5238	1.8976
598	4.1395	1.898
599	3.4749	1.8855
600	3.6889	1.858
601	4.5863	1.8054
602	4.6641	1.8551
603	4.1463	1.8735
604	3.3865	1.8687
605	3.7841	2.036
606	4.1435	1.8245
607	4.5945	1.8127
608	4.6935	1.8966
609	3.4734	1.9209
610	3.9506	1.8962
611	4.6806	1.9062
612	4.7204	1.9167
613	4.1757	1.7971
614	3.8421	1.9121
615	4.4617	1.7494
616	4.5218	1.7478
617	4.1866	2.0542
618	3.9174	1.9784
619	4.7087	1.8383
620	3.4557	1.9149
621	4.0492	1.8635
622	3.61	1.9882
623	3.9213	1.9186
624	3.9781	1.8266
625	4.7035	1.9137
626	3.5605	1.9066
627	4.5958	1.8067
628	4.2081	1.8985
629	3.6541	1.9798
630	3.4612	1.9133
631	4.0976	1.878
632	3.8148	1.9795
633	4.8714	1.8769
634	4.7988	1.9267
635	3.7603	1.8363
636	4.0651	1.8928
637	3.6998	1.9458
638	3.6903	2.0741
639	3.9228	1.8593
640	3.4313	1.8495
641	4.4057	1.913
642	3.6187	1.8526
643	4.6045	1.9151
644	4.6101	1.8447
645	3.9186	1.9692
646	4.3475	1.675
647	3.8277	1.8029
648	4.598	1.8315
649	4.6342	1.8353
650	3.5598	1.8479
651	4.6498	1.7808
652	4.4193	1.6881
653	4.097	1.9815
654	4.9893	1.9097
655	4.3709	1.7253
656	4.4188	1.9257
657	4.4926	1.7132
658	3.5471	1.985
659	3.853	2.006
660	3.8571	1.8533
661	3.6816	1.8973
662	4.2982	1.6801
663	4.8061	1.9122
664	4.6611	1.8155
665	4.8073	1.9425
666	3.693	2.1159
667	3.601	1.9326
668	4.436	1.7152
669	4.5828	1.8247
670	3.6362	1.8715
671	3.5116	1.978
672	3.6998	1.9474
673	3.9524	1.9576
674	3.6329	1.841
675	4.4261	1.744
676	4.3	1.8857
677	4.2021	1.8051
678	4.6442	1.8159
679	4.5974	1.7287
680	4.5065	1.7703
681	4.5547	1.7774
682	3.5361	1.9304
683	4.7103	1.9478
684	4.6046	1.7891
685	4.2272	1.752
686	4.3695	1.9783
687	3.6396	1.8564
688	3.4033	1.8988
689	3.707	2.0235
690	3.8296	1.7799
691	4.8364	1.897
692	5.0458	1.9798
693	4.627	1.8289
